Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
3f11497a-70a1-aff4-ee77-bfb170215016,1965-05-14,,999-70-6238,S99987289,X50616809X,Mrs.,Shandi,Wyman,,Cormier,W,white,nonhispanic,F,Haverhill  Massachusetts  US,244 Jacobson Gateway,Beverly,Massachusetts,Essex County,25009,01915,42.52290123805181,-70.86760973491499,21195.32,983098.15,19462
8343747a-8ca0-f40b-0290-3b84a8ea2987,2021-01-18,,999-40-5742,,,,Kendall,Christiansen,,,,asian,nonhispanic,F,Chelmsford  Massachusetts  US,859 Stokes Track,Lowell,Massachusetts,Middlesex County,25017,01851,42.61685729321135,-71.25868903440345,7559.95,125.10,115329
1ac239d6-67c3-0d13-9ee9-ae7d3d5ad9c6,1997-01-17,,999-68-9734,S99978349,X11239431X,Ms.,Kiera,Reinger,,,,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,1001 Haley Glen Unit 3,Arlington,Massachusetts,Middlesex County,25017,02474,42.449253650915544,-71.13813419509422,15470.83,800092.27,15690
e9d87f04-a7a1-57d1-5755-f40f035482b7,2011-01-02,,999-31-2095,,,,Gilberte,McClure,,,,white,nonhispanic,F,Sudbury  Massachusetts  US,603 Torphy Rest,West Springfield,Massachusetts,Hampden County,25013,01089,42.17425245417069,-72.60635232306761,2050.00,15528.76,13744
d3004e89-37bf-643e-4811-76c822bb094a,1996-09-29,,999-36-9341,S99930301,X54808937X,Ms.,Carrie,Runolfsdottir,,,,white,nonhispanic,F,Montague  Massachusetts  US,797 Bruen Drive Apt 8,Sandwich,Massachusetts,Barnstable County,25001,02563,41.7115099607845,-70.467514795114,50295.66,619332.53,65946
91027fe1-feab-83ab-fee7-09baa444374c,2006-09-26,,999-99-4892,S99922645,,,Denny,Fay,,,,white,nonhispanic,F,Stoughton  Massachusetts  US,460 Ledner Wynd Apt 14,Beverly,Massachusetts,Essex County,25009,01915,42.60543613997618,-70.85685771143747,2050.00,16991.77,7758
71f93960-1e87-c8f7-fef3-5bc0fb62af24,2002-12-03,,999-96-9307,S99957656,X31109275X,Ms.,Caroll,Tremblay,,,,white,nonhispanic,F,Deerfield  Massachusetts  US,604 Friesen Passage Apt 87,Arlington,Massachusetts,Middlesex County,25017,02474,42.38853300780392,-71.17670323969391,12822.35,67756.48,1055
2d53d3d8-8ee3-ef43-2949-25e0c32bf851,2021-11-11,,999-74-7742,,,,Kathe,Bartoletti,,,,white,nonhispanic,F,Millville  Massachusetts  US,330 Witting Club Suite 61,Longmeadow,Massachusetts,Hampden County,25013,01106,42.07094866647248,-72.62086494924763,5931.26,0.00,119932
b857782f-5450-72da-2a64-b5d08f874d14,1987-12-25,,999-58-2199,S99953688,X78921876X,Mrs.,Leonor,Olivo,,Ledesma,D,white,hispanic,F,San Juan  Puerto Rico  PR,1025 Dickinson Avenue Apt 80,Chelsea,Massachusetts,Suffolk County,25025,02151,42.404341839283234,-71.05255997710495,133652.03,54662.57,61435
5b73f754-6490-d28d-4ecf-dc4f96f321ce,1964-12-10,,999-36-7623,S99933591,X52713047X,Ms.,Blanca,Baumbach,,,S,white,nonhispanic,F,Boston  Massachusetts  US,698 Daugherty Loaf,North Falmouth,Massachusetts,Barnstable County,25001,02556,41.65588810419128,-70.57609973299613,794172.03,737731.17,71928
ce8a560d-7285-a2da-8286-e74c89b72796,1971-07-17,1976-03-18,999-57-4006,,,,Awilda,Schumm,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,638 Zieme Camp,Boston,Massachusetts,Suffolk County,25025,02126,42.3454316848822,-71.12715455620136,8061.48,29703.79,34771
5e2dc825-0fde-6d5d-e7ad-1a10a5e63e77,1967-10-09,2011-06-10,999-23-8436,S99993425,X31963300X,Mrs.,Brandie,Williamson,,Frami,M,white,nonhispanic,F,Marshfield  Massachusetts  US,224 Purdy Avenue Suite 93,Walpole,Massachusetts,Norfolk County,25021,02081,42.17978175281092,-71.21699772620042,217257.33,798339.06,176145
5569b22b-3989-4022-2d9a-e38ab554075f,1977-01-08,,999-51-2102,S99915476,X5097384X,Mrs.,Jeni,Swift,,Purdy,M,white,nonhispanic,F,Granby  Massachusetts  US,442 Friesen Way,Lexington,Massachusetts,Middlesex County,25017,02421,42.483783630660334,-71.19399127949782,900808.40,876931.21,117134
c9e1d732-70cd-8b10-6ade-17892c5deb61,1971-07-17,,999-37-1402,S99972870,X15164528X,Mrs.,Tyisha,Kunze,,Lehner,D,white,nonhispanic,F,Hardwick  Massachusetts  US,970 Romaguera Mission Apt 64,Boston,Massachusetts,Suffolk County,25025,02113,42.324526852571545,-71.08056982073995,158950.16,1072417.96,34771
73bc9d62-19e6-6bc3-d0e4-1d7be3adfe22,2007-08-04,,999-61-7798,,,,Laverne,Paucek,,,,white,nonhispanic,F,East Longmeadow  Massachusetts  US,986 Prosacco Key Apt 63,Middleborough Center,Massachusetts,Plymouth County,,00000,41.89648679925692,-70.88285351582233,22842.35,23521.82,487056
61ff256b-1a6f-a29a-517a-868f20a468ba,1967-01-13,,999-77-3764,S99979157,X89028202X,Mrs.,Candis,Dickens,,Wilkinson,M,white,hispanic,F,New Bedford  Massachusetts  US,441 Rau Knoll,Springfield,Massachusetts,Hampden County,25013,01105,42.07205460948343,-72.5509120385446,20342.25,1774109.27,13509
9bef9bc1-860f-1abe-485a-b1ce04afd39c,1991-04-08,1995-12-12,999-73-9037,,,,Susann,Reinger,,,,black,nonhispanic,F,Medford  Massachusetts  US,675 Stark Frontage road Apt 91,Chelmsford,Massachusetts,Middlesex County,,00000,42.63326770601701,-71.38070348886187,25022.13,14352.11,67769
559cbc0f-c303-9c6a-a24f-7e5fe1a651e6,1975-05-13,,999-93-3657,S99950384,X30994944X,Mrs.,Rebecka,Daniel,,Schuster,M,white,nonhispanic,F,Boston  Massachusetts  US,190 Leannon Ferry,Revere,Massachusetts,Suffolk County,25025,02151,42.46324233969929,-70.95438849562694,21173.25,1488912.59,15538
98214c80-bfe6-dfe7-88e1-ed0fbbeb0894,1968-12-26,,999-45-9938,S99953974,X53608863X,Ms.,Rebeca,Espino,,,S,white,hispanic,F,Bogota  Bogota  CO,225 Davis Branch,Worcester,Massachusetts,Worcester County,25027,01545,42.267329843089136,-71.78568030654372,250122.36,591963.43,29060
696f1019-dcc7-257a-a41f-54cc96d7d818,1991-04-08,,999-44-9358,S99954702,X58061917X,Mrs.,Kyle,Turner,,Schuppe,M,black,nonhispanic,F,Springfield  Massachusetts  US,882 Kovacek Rest,Chelmsford,Massachusetts,Middlesex County,,00000,42.606367514636325,-71.37920720470251,218214.94,611600.53,67769
9e9eb85c-ab4c-8aad-240b-56b53f944d92,2010-10-11,,999-76-3312,,,,Armanda,Bartoletti,,,,white,nonhispanic,F,East Bridgewater  Massachusetts  US,1041 Zboncak Park Apt 8,Shrewsbury,Massachusetts,Worcester County,,00000,42.290657487036036,-71.74031037209178,19879.03,27956.55,123655
91608df1-af20-7bab-1ea8-8fdeaaeb8b58,1958-02-18,2017-08-07,999-92-8415,S99953566,X1628245X,Mrs.,Twila,Lindgren,,Reynolds,M,white,nonhispanic,F,Worcester  Massachusetts  US,892 Turner Forge Apt 91,Bellingham,Massachusetts,Norfolk County,25021,02019,42.07796227799123,-71.46174273365163,245168.17,1066413.09,130122
309fb651-6751-6f62-3664-a8cdddd70003,1955-09-16,,999-97-8903,S99963531,X20585554X,Mrs.,Lillian,Welch,,Cummings,D,white,nonhispanic,F,Palmer  Massachusetts  US,406 Grimes Station Apt 28,Brewster,Massachusetts,Barnstable County,25001,02631,41.75836624679333,-70.05213920932701,276658.01,124800.33,51651
4d4939db-eca1-02f9-1450-53a5b653c6b4,1958-02-18,,999-13-1503,S99966627,X46149666X,Mrs.,Fanny,Collins,,Mayer,D,white,nonhispanic,F,Lawrence  Massachusetts  US,1032 Stehr Loaf,Bellingham,Massachusetts,Norfolk County,25021,02019,42.09850400490331,-71.47776502450081,273706.81,689967.53,130122
0d3e0b01-95a3-0ee7-0fb3-9d2316d1a2b4,1951-05-18,1993-10-23,999-46-1839,S99920379,X10163300X,Mrs.,Janette,Farrell,,Kshlerin,M,asian,nonhispanic,F,Attleboro  Massachusetts  US,259 Murphy Gardens Suite 52,Pepperell,Massachusetts,Middlesex County,25017,01463,42.62544862566409,-71.62854940643615,563448.75,1085178.24,121996
39e37a64-61cb-d3d3-b998-aa4e40ac0445,1945-08-14,1999-09-27,999-97-5565,S99998585,X64949726X,Mrs.,Darci,Pfeffer,,Casper,M,white,nonhispanic,F,Norton Center  Massachusetts  US,446 VonRueden Row Apt 54,Milford,Massachusetts,Worcester County,25027,01757,42.19704931761221,-71.54744317565996,1536209.53,1839590.78,47127
491c643a-a4ff-f23c-9540-fe74ca62bb46,1970-03-29,,999-83-4696,S99938170,X82343592X,Mrs.,Minta,Friesen,,Weimann,D,white,nonhispanic,F,Westford  Massachusetts  US,683 Mann Trail Apt 18,Leyden,Massachusetts,Franklin County,,00000,42.68570337461271,-72.63389260869222,692524.95,50856.48,98968
3dc96fbd-d1d8-bf69-23b0-36f92e48d02e,1965-08-14,,999-76-9891,S99977330,X8330226X,Mrs.,Jeanice,O'Hara,,Schuppe,M,white,nonhispanic,F,Blackstone  Massachusetts  US,894 Bogisich Grove Suite 81,Newton,Massachusetts,Middlesex County,25017,02458,42.32676683673942,-71.19270137386303,142157.57,207057.04,131330
47488b77-8b71-337b-7a4b-e973464a6037,2020-11-18,,999-24-1748,,,,Mammie,Blanda,,,,white,nonhispanic,F,Agawam  Massachusetts  US,1042 Effertz Tunnel Apt 25,Randolph,Massachusetts,Norfolk County,25021,02368,42.175353477850685,-71.0713600911882,4558.79,3701.77,82337
5ed13bb1-9e73-ef7b-9730-de886017ac7c,1967-10-09,,999-43-1317,S99963518,X41635799X,Ms.,Kate,Dicki,,,S,white,nonhispanic,F,Boston  Massachusetts  US,979 Schroeder Bridge,Walpole,Massachusetts,Norfolk County,25021,02081,42.16282062442244,-71.23321439492013,428199.11,1111202.03,176145
3bd55f2e-07d0-dc61-310f-c6d56597df31,1951-05-18,,999-59-9647,S99917882,X43597967X,Mrs.,Kassandra,Hickle,,White,M,asian,nonhispanic,F,Waltham  Massachusetts  US,809 Mann Village,Pepperell,Massachusetts,Middlesex County,25017,01463,42.63647354449619,-71.6291648719163,283353.52,1165111.14,121996
6b5f29aa-e9a0-a1a4-e22a-790bb09f093e,1945-08-14,1995-03-28,999-23-9154,S99947188,X41956557X,Ms.,Verlene,Waters,,,S,white,nonhispanic,F,Pembroke  Massachusetts  US,797 Skiles Viaduct Apt 17,Milford,Massachusetts,Worcester County,25027,01757,42.14686802353312,-71.47748738283376,650748.76,201963.46,47127
92b83525-9c87-9471-a903-1964667bedf9,2018-11-16,,999-27-3887,,,,Michal,Ryan,,,,other,nonhispanic,F,Norwood  Massachusetts  US,1090 Adams Lane Apt 80,Medway,Massachusetts,Norfolk County,,00000,42.1870495524647,-71.45013617956535,6463.67,3372.33,47012
efe49f02-94fb-19ac-9793-7c3ad8cec429,2017-10-26,,999-37-1583,,,,Heike,Blick,,,,other,nonhispanic,F,Westport  Massachusetts  US,183 Runte Frontage road Apt 43,Raynham Center,Massachusetts,Bristol County,25005,02768,41.938581710139786,-71.03833612928557,5419.72,10251.42,31840
25e2be7d-6570-abb8-4f1c-599bc6513848,1997-11-09,2012-01-30,999-45-4160,,,,Sharell,Koepp,,,,white,nonhispanic,F,Uxbridge  Massachusetts  US,116 Will Hollow Apt 79,Chicopee,Massachusetts,Hampden County,25013,01013,42.19924298330552,-72.54307737274156,2700.00,16304.85,12210
b3e7bd8a-adcc-3c6f-3039-9a4d28295c9e,1997-11-09,,999-44-4296,S99926636,X44033005X,Ms.,Joya,Reinger,,,,white,nonhispanic,F,Charlton  Massachusetts  US,476 Halvorson Branch,Chicopee,Massachusetts,Hampden County,25013,01022,42.15409082657116,-72.58697755294993,17973.46,234445.96,12210
ccdbef77-48bf-cc07-c72b-dcc8d84362ed,1947-07-13,,999-48-2571,S99971070,X88073501X,Mrs.,Tammie,Stark,,Kling,W,white,nonhispanic,F,Boston  Massachusetts  US,924 Jacobs Alley Suite 0,Springfield,Massachusetts,Hampden County,25013,01199,42.09434537575302,-72.639206306709,866569.23,481479.36,49629
bcc618ae-3fdd-c77e-d501-9d7c553c9d41,1993-04-04,,999-96-3686,S99950360,X21539381X,Mrs.,Karly,Sauer,,Hammes,M,asian,nonhispanic,F,Westminster  Massachusetts  US,224 Klein Fork Unit 19,Winchendon,Massachusetts,Worcester County,25027,01475,42.624999085067046,-72.03123099648782,60079.15,233718.64,40950
b1df7465-9dd5-8dbb-d858-94adeeb856b8,2016-04-10,,999-20-5352,,,,Shemika,Hickle,,,,white,nonhispanic,F,Boston  Massachusetts  US,908 Nolan Wynd,Ludlow,Massachusetts,Hampden County,,00000,42.213446714883595,-72.45335086136379,10577.04,5025.96,49018
ca463dd6-3cfb-9ca9-8036-af30df4bb1f4,1990-10-18,,999-19-7050,S99994921,X30571947X,Mrs.,Delois,Batz,,Konopelski,M,white,nonhispanic,F,Grafton  Massachusetts  US,402 Schaden Parade Suite 56,Danvers,Massachusetts,Essex County,25009,01937,42.55536301762101,-70.97577369920977,906834.27,407744.60,84429
d0dc55d4-31b0-17b6-385a-84542758659e,1945-08-14,,999-21-8140,S99960845,X47329339X,Mrs.,Amal,Purdy,,Rempel,M,white,nonhispanic,F,Walpole  Massachusetts  US,683 D'Amore Meadow Suite 71,Milford,Massachusetts,Worcester County,25027,01757,42.14202618113218,-71.48684225024455,130548.24,322135.32,47127
0604b0b0-51ca-92fc-51a1-33ea8063e7b2,1971-02-04,,999-29-7109,S99936168,X56066217X,Mrs.,Sherlyn,Jacobson,,Cummerata,M,white,nonhispanic,F,Springfield  Massachusetts  US,1084 Hirthe Avenue Apt 6,East Sandwich,Massachusetts,Barnstable County,25001,02537,41.70255538045741,-70.40095320155507,624108.86,756509.60,71376
547fc726-898c-d9da-a114-c8dabd241377,1992-06-09,,999-44-9946,S99933527,X43212420X,Mrs.,Jesus,O'Keefe,,Runte,M,white,nonhispanic,F,Attleboro  Massachusetts  US,207 Treutel Lodge,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.407209901906334,-73.25678505304376,6811.62,362626.17,22248
83f79b5f-32fd-1c06-d068-441f615a5a43,1991-10-11,,999-34-6095,S99975405,X17972540X,Mrs.,Jolie,Anderson,,Thompson,M,white,nonhispanic,F,Lowell  Massachusetts  US,1059 Altenwerth Center Apt 57,Wrentham,Massachusetts,Norfolk County,,00000,42.050006488670135,-71.3127575620523,115241.39,522384.40,258001
c48e02c7-f0e1-7ab6-ac2d-e9a870280440,1972-10-20,,999-35-6257,S99980680,X41896608X,Mrs.,Eve,Kirlin,,Harris,M,white,nonhispanic,F,Springfield  Massachusetts  US,354 Mills Glen Apt 62,Freetown,Massachusetts,Bristol County,,00000,41.788456728111434,-71.00040961830645,14741.68,1493185.79,22614
7da236c7-69f2-d019-f69a-7f723fde0046,1971-10-29,,999-44-6763,S99955630,X72802078X,Mrs.,Tami,Mante,,DuBuque,D,white,nonhispanic,F,Lowell  Massachusetts  US,232 Balistreri Spur Suite 35,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.45888658723539,-73.28775079168813,418019.15,1693204.91,640
fc0129ee-a7be-0110-5e83-9905893889cd,2012-08-15,,999-70-3604,,,,Genie,Kilback,,,,white,nonhispanic,F,Hingham  Massachusetts  US,583 Armstrong Arcade Unit 38,Canton,Massachusetts,Norfolk County,,00000,42.204461893167704,-71.15934391782325,1700.00,15452.08,11407
1d2ed8c6-8636-1f35-df79-bb4d8428256c,2019-08-23,,999-73-9689,,,,Alisha,Konopelski,,,,white,nonhispanic,F,Boston  Massachusetts  US,122 O'Hara Key,New Bedford,Massachusetts,Bristol County,25005,02745,41.654567774084946,-70.943329312954,5745.22,5030.94,181333
220c07f9-30e6-4d36-463a-bb9ee3985098,2016-09-16,,999-32-9682,,,,Nakisha,Cormier,,,,white,hispanic,F,Orleans  Massachusetts  US,287 Kuvalis Street Apt 50,Beverly,Massachusetts,Essex County,25009,01915,42.60096046632646,-70.83619891105951,12718.10,3472.39,56722
cabaf87a-7e3b-d15e-27f5-12ec5c5a3821,1984-04-19,,999-53-7224,S99994934,X65945731X,Mrs.,Melda,Torphy,,Cummings,M,white,nonhispanic,F,Barnstable  Massachusetts  US,957 Bechtelar Wynd Suite 51,Boston,Massachusetts,Suffolk County,25025,02113,42.324929243404604,-71.0328215781553,78363.38,63294.74,59948
c3ccea24-2caa-01bc-5970-b51dbcf8699e,1990-08-15,,999-18-6144,S99971836,X38806520X,Ms.,Mao,Stracke,,,S,asian,nonhispanic,F,Holyoke  Massachusetts  US,828 Paucek Tunnel Apt 92,Middleborough,Massachusetts,Plymouth County,,00000,41.845289106978804,-70.87377383218505,185547.25,91150.98,56212
fddcf8a3-fa18-b6e3-2c6b-fb21406d990f,1978-07-03,,999-81-9216,S99990443,X88931981X,Mrs.,Arletha,Runte,PhD,Kunde,M,white,nonhispanic,F,Marshfield  Massachusetts  US,109 Wunsch Road Unit 69,Cohasset,Massachusetts,Norfolk County,,00000,42.263350572234316,-70.78782114147619,269275.16,633263.66,137317
74389a76-8dbb-594d-c606-7847eded440c,2014-07-24,,999-46-1668,,,,Mindy,McGlynn,,,,white,nonhispanic,F,Easthampton  Massachusetts  US,555 Cummings Green Apt 96,Plymouth,Massachusetts,Plymouth County,25023,02360,41.90989890855198,-70.65911418012217,14460.57,11701.12,35653
e5aa72df-3323-6852-5ecd-177428e6f26d,2019-03-04,,999-41-6999,,,,Claudie,Nader,,,,white,nonhispanic,F,Wellesley  Massachusetts  US,501 Boyer Green Unit 71,Barnstable,Massachusetts,Barnstable County,25001,02648,41.65090334032074,-70.3761834756462,1302.67,11420.84,10925
26dae3bc-bfcf-fd9c-d640-a791792eb9ac,1944-12-03,,999-62-1823,S99940531,X31869264X,Ms.,Vanessa,Bogisich,,,S,white,nonhispanic,F,Methuen  Massachusetts  US,139 Orn Stravenue Apt 69,Somerville,Massachusetts,Middlesex County,25017,02155,42.39106715028012,-71.08105387201135,257136.34,1296051.68,654857
b391d9d6-5bb0-042b-4c29-114d5f997388,1955-07-24,,999-71-1558,S99981122,X10954837X,Mrs.,Nannette,Hyatt,,Ullrich,M,white,nonhispanic,F,Stoughton  Massachusetts  US,718 Dickinson Annex,Westport,Massachusetts,Bristol County,,00000,41.58270927023473,-71.05373524105426,1130507.67,67628.80,65776
b6c470e1-5763-b848-f4a0-67379863f1bb,1963-11-11,,999-77-9883,S99996313,X76482238X,Mrs.,Beatriz,Alejandro,,Portillo,D,hawaiian,hispanic,F,Marigot  Saint Andrew Parish  DM,620 Fahey Mission,Westborough,Massachusetts,Worcester County,25027,01581,42.222728192865986,-71.58650494353643,40655.90,904511.99,163205
2ffc4cb8-fff3-391d-1dc6-4241d3a4bc97,2013-09-14,,999-12-3553,,,,Dotty,Beier,,,,white,nonhispanic,F,Boston  Massachusetts  US,610 Balistreri Ferry Suite 88,Worcester,Massachusetts,Worcester County,25027,01545,42.2273337552663,-71.8543266579983,25110.81,1823.48,55006
b8539aac-c712-c61c-bd90-4b6eb1879bc1,1993-08-25,,999-36-2230,S99933135,X36911355X,Mrs.,Margy,Moen,,Fritsch,M,white,hispanic,F,Springfield  Massachusetts  US,483 Walter Street,Cambridge,Massachusetts,Middlesex County,25017,02141,42.35937479434904,-71.18135220876746,43213.91,544808.35,974592
8392c0ee-d117-a8ec-aac9-96ea5cb8c6d8,1963-08-22,2023-03-14,999-62-5559,S99952760,X77429305X,Mrs.,Dalila,Hoeger,,Kiehn,D,white,nonhispanic,F,Palermo  Sicily  IT,170 Lesch Bridge,Sudbury,Massachusetts,Middlesex County,,00000,42.37093672149595,-71.41945125349964,205160.65,2964273.04,389776
66285c86-b740-6c2d-4b8e-0322a7e352e6,1999-09-20,,999-98-5730,S99940065,X39446309X,Ms.,Tawny,Buckridge,,,,asian,nonhispanic,F,Burlington  Massachusetts  US,443 Jacobi Junction,Groton,Massachusetts,Middlesex County,25017,01450,42.65772497192182,-71.59095294183359,576838.18,388242.48,69722
